pair_id,research_query_id,acquisition_query_id,openalex_id,title,doi,landing_page_url,source_query_ids,source_run_ids,openalex_id_status,doi_missing,abstract_missing,landing_page_url_missing,source_query_ids_status,source_run_ids_status,expected_acquisition_query_in_source_query_ids,metadata_matches_source,cross_rq_paper,cross_rq_research_query_ids,provenance_status,annotation_evidence_note,audit_note
w4_rq01_001,rq01_stellar_classification,q02_classification,https://openalex.org/W4293191352,Stellar Classification by Machine Learning,10.1051/shsconf/202214403006,https://doi.org/10.1051/shsconf/202214403006,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_002,rq01_stellar_classification,q02_classification,https://openalex.org/W2778437674,Machine learning technique for morphological classification of galaxies from the SDSS,10.1051/0004-6361/202038981,https://doi.org/10.1051/0004-6361/202038981,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_003,rq01_stellar_classification,q02_classification,https://openalex.org/W3113695400,Stellar chromospheric activity of 1674 FGK stars from the AMBRE-HARPS sample,10.1051/0004-6361/202039765,https://doi.org/10.1051/0004-6361/202039765,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_004,rq01_stellar_classification,q02_classification,https://openalex.org/W2567715800,The Galah Survey: Classification and Diagnostics with t-SNE Reduction of Spectral Information,10.3847/1538-4365/228/2/24,https://doi.org/10.3847/1538-4365/228/2/24,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_005,rq01_stellar_classification,q02_classification,https://openalex.org/W2006224949,Prevalence of Earth-size planets orbiting Sun-like stars,10.1073/pnas.1319909110,https://doi.org/10.1073/pnas.1319909110,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_006,rq01_stellar_classification,q02_classification,https://openalex.org/W4384201335,Machine learning in solar physics,10.1007/s41116-023-00038-x,https://doi.org/10.1007/s41116-023-00038-x,"[""q02_classification"",""q04_preprocessing""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,true,"[""rq01_stellar_classification"",""rq03_spectral_preprocessing""]",ok,,跨 Research Query 共现；来源记录一致，relevance 仍需按各 Query 独立判断。
w4_rq01_007,rq01_stellar_classification,q02_classification,https://openalex.org/W1663830336,<i>THE CANNON</i>: A DATA-DRIVEN APPROACH TO STELLAR LABEL DETERMINATION,10.1088/0004-637x/808/1/16,https://doi.org/10.1088/0004-637x/808/1/16,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_008,rq01_stellar_classification,q02_classification,https://openalex.org/W2921395996,Stellar spectral classification and feature evaluation based on a random forest,10.1088/1674-4527/19/8/111,https://doi.org/10.1088/1674-4527/19/8/111,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_009,rq01_stellar_classification,q02_classification,https://openalex.org/W3043645409,The miniJPAS survey: star-galaxy classification using machine learning,10.1051/0004-6361/202038986,https://doi.org/10.1051/0004-6361/202038986,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_010,rq01_stellar_classification,q02_classification,https://openalex.org/W3121170300,ROOSTER: a machine-learning analysis tool for <i>Kepler</i> stellar rotation periods,10.1051/0004-6361/202039947,https://doi.org/10.1051/0004-6361/202039947,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_011,rq01_stellar_classification,q02_classification,https://openalex.org/W2777402735,Carbon Stars Identified from LAMOST DR4 Using Machine Learning,10.3847/1538-4365/aaa415,https://doi.org/10.3847/1538-4365/aaa415,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,true,"[""rq01_stellar_classification"",""rq02_stellar_parameters""]",ok,,跨 Research Query 共现；来源记录一致，relevance 仍需按各 Query 独立判断。
w4_rq01_012,rq01_stellar_classification,q02_classification,https://openalex.org/W2406349003,A survey of machine learning for big data processing,10.1186/s13634-016-0355-x,https://doi.org/10.1186/s13634-016-0355-x,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq01_013,rq01_stellar_classification,q02_classification,https://openalex.org/W2127375519,A MACHINE-LEARNING METHOD TO INFER FUNDAMENTAL STELLAR PARAMETERS FROM PHOTOMETRIC LIGHT CURVES,10.1088/0004-637x/798/2/122,https://doi.org/10.1088/0004-637x/798/2/122,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
