method_id,research_query_id,pair_count,labeled_count,ndcg_at_5,ndcg_at_10,precision_at_5,precision_at_10,coverage_at_5,coverage_at_10,irrelevant_top_5,irrelevant_top_10
preliminary_score_v1,rq01_stellar_classification,20,20,0.0,0.0,0.0,0.0,1.0,1.0,5,10
preliminary_score_v1,rq02_stellar_parameters,20,20,0.38784965522118486,0.46340100167822,0.4,0.5,1.0,1.0,3,5
preliminary_score_v1,rq03_spectral_preprocessing,20,20,0.0,0.330639228452749,0.0,0.2,1.0,1.0,5,8
preliminary_score_v1,macro,60,60,0.129283,0.26468,0.133333,0.233333,1.0,1.0,4.333333,7.666667
tfidf_two_stage_v1,rq01_stellar_classification,20,20,0.0,0.0,0.0,0.0,1.0,1.0,5,10
tfidf_two_stage_v1,rq02_stellar_parameters,20,20,0.5968814958455909,0.7482746727007507,0.6,0.6,1.0,1.0,2,4
tfidf_two_stage_v1,rq03_spectral_preprocessing,20,20,0.52129602861432,0.6193996029832952,0.2,0.2,1.0,1.0,4,8
tfidf_two_stage_v1,macro,60,60,0.372726,0.455891,0.266667,0.266667,1.0,1.0,3.666667,7.333333
bm25_v1,rq01_stellar_classification,20,20,0.15101961822780524,0.3870159539471055,0.2,0.3,1.0,1.0,4,7
bm25_v1,rq02_stellar_parameters,20,20,0.642688118971914,0.6153281765984113,0.8,0.5,1.0,1.0,1,5
bm25_v1,rq03_spectral_preprocessing,20,20,0.8262346571285599,0.8262346571285599,0.2,0.1,1.0,1.0,4,9
bm25_v1,macro,60,60,0.539981,0.609526,0.4,0.3,1.0,1.0,3.0,7.0
specter2_adhoc_v1,rq01_stellar_classification,20,20,0.19519002499605084,0.4381618496756866,0.2,0.3,1.0,1.0,4,7
specter2_adhoc_v1,rq02_stellar_parameters,20,20,0.7112741403342752,0.8229942905121725,0.8,0.8,1.0,1.0,1,2
specter2_adhoc_v1,rq03_spectral_preprocessing,20,20,0.8262346571285599,0.8262346571285599,0.2,0.1,1.0,1.0,4,9
specter2_adhoc_v1,macro,60,60,0.577566,0.695797,0.4,0.4,1.0,1.0,3.0,6.0
cross_encoder_msmarco_v1,rq01_stellar_classification,20,20,0.15101961822780524,0.2811463015585058,0.2,0.2,1.0,1.0,4,8
cross_encoder_msmarco_v1,rq02_stellar_parameters,20,20,0.6985436835905778,0.7868805293999998,0.8,0.7,1.0,1.0,1,3
cross_encoder_msmarco_v1,rq03_spectral_preprocessing,20,20,0.52129602861432,0.52129602861432,0.2,0.1,1.0,1.0,4,9
cross_encoder_msmarco_v1,macro,60,60,0.456953,0.529774,0.4,0.333333,1.0,1.0,3.0,6.666667
rrf_bm25_specter2_v1,rq01_stellar_classification,20,20,0.15101961822780524,0.40429749592887076,0.2,0.3,1.0,1.0,4,7
rrf_bm25_specter2_v1,rq02_stellar_parameters,20,20,0.8573424901769816,0.8271001224341035,1.0,0.7,1.0,1.0,0,3
rrf_bm25_specter2_v1,rq03_spectral_preprocessing,20,20,0.8262346571285599,0.8262346571285599,0.2,0.1,1.0,1.0,4,9
rrf_bm25_specter2_v1,macro,60,60,0.611532,0.685877,0.466667,0.366667,1.0,1.0,2.666667,6.333333
