title,authors,publication_year,doi,abstract,cited_by_count,source_name,openalex_id,landing_page_url,keyword,retrieved_at,relevance_score,impact_score,recency_score,completeness_score,preliminary_score
Stellar populations with optical spectra: deep learning versus popular spectrum fitting codes,Joanna Woo; Dan Walters; Finn Archinuk; S. M. Faber; Sara L. Ellison; Hossen Teimoorinia; Kartheik G. Iyer,2024,10.1093/mnras/stae1114,"ABSTRACT We compare the performance of several popular spectrum fitting codes (firefly, starlight, pypipe3d, and ppxf), and a deep-learning convolutional neural network (starnet), in recovering known stellar population properties (mean stellar age, stellar metallicity, stellar mass-to-light ratio M*/Lr and the internal E(B−V)) of simulated galaxy spectra in optical wavelengths. Our mock spectra are constructed from star-formation histories from the IllustrisTNG100-1 simulation. These spectra mimic the Sloan Digital Sky Survey (SDSS) through a novel method of including the noise, sky residuals, and emission lines taken directly from SDSS. We find that starnet vastly outperforms all conventional codes in both speed and recovery of stellar population properties (error scatter &amp;lt;0.08 dex, average biases &amp;lt;0.02 dex for all tested quantities), but it requires an appropriate training set. Of the non-machine-learning codes, ppxf was a factor of 3–4 times faster than the other codes, and was the best in recovering stellar population properties (error scatter of &amp;lt;0.11 dex, average biases &amp;lt;0.08 dex). However, the errors and biases are strongly dependent on both true and predicted values of stellar age and metallicity, and signal-to-noise ratio. The biases of all codes can approach 0.15 dex in stellar ages, metallicities and log M*/Lr, but remain ≲0.05 for E(B−V). Using unrealistic Gaussian noise in the construction of mock spectra will underestimate the errors in the metallicities by a factor of 2 or more, and mocks without emission lines will underestimate the errors in stellar age and M*/Lr by a factor of 2.",24,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W4395479208,https://doi.org/10.1093/mnras/stae1114,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.3847,0.8,1.0,0.7054
Machine learning applications in Jupiter-host star classification using stellar spectra,M. Zammit; Kristian Zarb Adami,2023,10.1093/mnras/stad3668,"ABSTRACT The link between stellar host properties, be it chemical, physical, dynamical, or galactic in nature, with the presence of planetary companions, has been one that has been repeatedly tested in the literature. Several corroborated work has argued that the correlation between a stellar atmosphere’s chemistry and the presence of gas giant companions is primordial in nature, implying that the chemical budget in a protoplanetary disc, and by proxy the eventual stellar host, increases the likelihood of gas giant formation. In this work, we aim to use the power of computer vision to build and test a machine learning classifier capable of discriminating between gas giant host stars and a comparison sample, using spectral data of the host stars in the visible regime. High-resolution spectra are used to preserve any inherent information which may contribute to the classification, and are fed into a stacked ensemble design incorporating several convolutional neural networks. The spectral range is binned such that each is assigned to a first-level voter, with the meta-learner aggregating their votes into a final classification. We contextualize and elaborate on the model design and results presented in a prior proceedings publication, and present an amended architecture incorporating semisupervized learning. Both models achieve relatively strong performance metrics and generalize over the holdout sets well, yet still present signs of overfitting.",4,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W4389097389,https://doi.org/10.1093/mnras/stad3668,machine learning stellar spectra,2026-07-22T10:19:44+00:00,1.0,0.1924,0.7,1.0,0.6977
Stellar Spectra Models Classification and Parameter Estimation Using Machine Learning Algorithms,Miguel Flores R.; L. J. Corral; C. Fierro,2021,10.48550/arxiv.2105.07110,"The growth of sky surveys and the large amount of stellar spectra in the current databases, has generated the necessity of developing new methods to estimate atmospheric parameters, a fundamental task on stellar research. In this work we present a comparison of different machine learning algorithms, using for the classification of stellar synthetic spectra and the estimation of fundamental stellar parameters included T_eff(K), log(L/Lo), log g, M/Mo, and Vrot. For both tasks, we established a group of supervised learning models, and propose a database of measures with the same structure to train the algorithms. This data includes equivalent-width types measurements over noisy synthetic spectra in order to replicate the natural noise on a real observed spectrum. Different levels of signal to noise ratio are considered for this analysis.",6,arXiv (Cornell University),https://openalex.org/W3161623437,http://arxiv.org/abs/2105.07110,machine learning stellar spectra,2026-07-22T10:19:44+00:00,1.0,0.2326,0.5,1.0,0.6698
Mapping the Diversity of Galaxy Spectra with Deep Unsupervised Machine Learning,Hossen Teimoorinia; Finn Archinuk; Joanna Woo; Sara Shishehchi; Asa F. L. Bluck,2022,10.3847/1538-3881/ac4039,"Abstract Modern spectroscopic surveys of galaxies such as MaNGA consist of millions of diverse spectra covering different regions of thousands of galaxies. We propose and implement a deep unsupervised machine-learning method to summarize the entire diversity of MaNGA spectra onto a 15 × 15 map (DESOM-1), where neighboring points on the map represent similar spectra. We demonstrate our method as an alternative to conventional full spectral fitting for deriving physical quantities and full probability distributions much more efficiently than traditional resource-intensive Bayesian methods. Since spectra are grouped by similarity, the distribution of spectra onto the map for a single galaxy, i.e., its “fingerprint,” reveals the presence of distinct stellar populations within the galaxy, indicating smoother or episodic star formation histories. We further map the diversity of galaxy fingerprints onto a second map (DESOM-2). Using galaxy images and independent measures of galaxy morphology, we confirm that galaxies with similar fingerprints have similar morphologies and inclination angles. Since morphological information was not used in the mapping algorithm, relating galaxy morphology to the star formation histories encoded in the fingerprints is one example of how the DESOM maps can be used to make scientific inferences.",21,The Astronomical Journal,https://openalex.org/W4200631758,https://doi.org/10.3847/1538-3881/ac4039,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.3695,0.6,1.0,0.6608
Deducing neutron star equation of state parameters directly from telescope spectra with uncertainty-aware machine learning,Delaney Farrell; Pierre Baldi; Jordan Ott; A. Ghosh; Andrew W. Steiner; Atharva Kavitkar; Lee Lindblom; D. Whiteson; Fridolin Weber,2023,10.1088/1475-7516/2023/02/016,"Abstract Neutron stars provide a unique laboratory for studying matter at extreme pressures and densities. While there is no direct way to explore their interior structure, X-rays emitted from these stars can indirectly provide clues to the equation of state (EOS) of the superdense nuclear matter through the inference of the star's mass and radius. However, inference of EOS directly from a star's X-ray spectra is extremely challenging and is complicated by systematic uncertainties. The current state of the art is to use simulation-based likelihoods in a piece-wise method which relies on certain theoretical assumptions and simplifications about the uncertainties. It first infers the star's mass and radius to reduce the dimensionality of the problem, and from those quantities infer the EOS. We demonstrate a series of enhancements to the state of the art, in terms of realistic uncertainty quantification and a path towards circumventing the need for theoretical assumptions to infer physical properties with machine learning. We also demonstrate novel inference of the EOS directly from the high-dimensional spectra of observed stars, avoiding the intermediate mass-radius step. Our network is conditioned on the sources of uncertainty of each star, allowing for natural and complete propagation of uncertainties to the EOS.",26,Journal of Cosmology and Astroparticle Physics,https://openalex.org/W4319592221,https://doi.org/10.1088/1475-7516/2023/02/016,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.75,0.3939,0.7,1.0,0.6582
Deducing neutron star equation of state from telescope spectra with machine-learning-derived likelihoods,Delaney Farrell; Pierre Baldi; Jordan Ott; A. Ghosh; Andrew W. Steiner; Atharva Kavitkar; Lee Lindblom; D. Whiteson; Fridolin Weber,2023,10.1088/1475-7516/2023/12/022,"Abstract The interiors of neutron stars reach densities and temperatures beyond the limits of terrestrial experiments, providing vital laboratories for probing nuclear physics. While the star's interior is not directly observable, its pressure and density determine the star's macroscopic structure which affects the spectra observed in telescopes. The relationship between the observations and the internal state is complex and partially intractable, presenting difficulties for inference. Previous work has focused on the regression from stellar spectra of parameters describing the internal state. We demonstrate a calculation of the full likelihood of the internal state parameters given observations, accomplished by replacing intractable elements with machine learning models trained on samples of simulated stars. Our machine-learning-derived likelihood allows us to perform maximum a posteriori estimation of the parameters of interest, as well as full scans. We demonstrate the technique by inferring stellar mass and radius from an individual stellar spectrum, as well as equation of state parameters from a set of spectra. Our results are more precise than pure regression models, reducing the width of the parameter residuals by 11.8% in the most realistic scenario. The neural networks will be released as a tool for fast simulation of neutron star properties and observed spectra.",8,Journal of Cosmology and Astroparticle Physics,https://openalex.org/W4389613706,https://doi.org/10.1088/1475-7516/2023/12/022,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.2626,0.7,1.0,0.6488
Assessing the performance of LTE and NLTE synthetic stellar spectra in a machine learning framework,Spencer Bialek; S. Fabbro; Kim A. Venn; Nripesh Kumar; Teaghan O’Briain; Kwang Moo Yi,2020,10.1093/mnras/staa2582,"ABSTRACT In the current era of stellar spectroscopic surveys, synthetic spectral libraries are the basis for the derivation of stellar parameters and chemical abundances. In this paper, we compare the stellar parameters determined using five popular synthetic spectral grids (INTRIGOSS, FERRE, AMBRE, PHOENIX, and MPIA/1DNLTE) with our convolutional neural network (CNN, StarNet). The stellar parameters are determined for six physical properties (effective temperature, surface gravity, metallicity, [α/Fe], radial velocity, and rotational velocity) given the spectral resolution, signal-to-noise ratio, and wavelength range of optical FLAMES-UVES spectra from the Gaia-ESO Survey. Both CNN modelling and epistemic uncertainties are incorporated through training an ensemble of networks. StarNet training was also adapted to mitigate differences between the synthetic grids and observed spectra by augmenting with realistic observational signatures (i.e. resolution matching, wavelength sampling, Gaussian noise, zeroing flux values, rotational and radial velocities, continuum removal, and masking telluric regions). Using the FLAMES-UVES spectra for FGK-type dwarfs and giants as a test set, we quantify the accuracy and precision of the stellar label predictions from StarNet. We find excellent results over a wide range of parameters when StarNet is trained on the MPIA/1DNLTE synthetic grid, and acceptable results over smaller parameter ranges when trained on the 1DLTE grids. These tests also show that our CNN pipeline is highly adaptable to multiple simulation grids.",24,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W3081618654,https://doi.org/10.1093/mnras/staa2582,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.85,0.3847,0.4,1.0,0.6354
Star formation rates and stellar masses from machine learning,V. Bonjean; N. Aghanim; P. Salomé; A. Beelen; M. Douspis; E. Soubrié,2019,10.1051/0004-6361/201833972,"Star-formation activity is a key property to probe the structure formation and hence characterise the large-scale structures of the universe. This information can be deduced from the star formation rate (SFR) and the stellar mass ( M ⋆ ), both of which, but especially the SFR, are very complex to estimate. Determining these quantities from UV, optical, or IR luminosities relies on complex modeling and on priors on galaxy types. We propose a method based on the machine-learning algorithm Random Forest to estimate the SFR and the M ⋆ of galaxies at redshifts in the range 0.01 &lt; z &lt; 0.3, independent of their type. The machine-learning algorithm takes as inputs the redshift, WISE luminosities, and WISE colours in near-IR, and is trained on spectra-extracted SFR and M ⋆ from the SDSS MPA-JHU DR8 catalogue as outputs. We show that our algorithm can accurately estimate SFR and M ⋆ with scatters of σ SFR = 0.38 dex and σ M ⋆ = 0.16 dex for SFR and stellar mass, respectively, and that it is unbiased with respect to redshift or galaxy type. The full-sky coverage of the WISE satellite allows us to characterise the star-formation activity of all galaxies outside the Galactic mask with spectroscopic redshifts in the range 0.01 &lt; z &lt; 0.3. The method can also be applied to photometric-redshift catalogues, with best scatters of σ SFR = 0.42 dex and σ M ⋆ = 0.24 dex obtained in the redshift range 0.1 &lt; z &lt; 0.3.",53,Astronomy and Astrophysics,https://openalex.org/W2907474932,https://doi.org/10.1051/0004-6361/201833972,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.4768,0.3,1.0,0.633
Predicting the impact of feedback on matter clustering with machine learning in CAMELS,Ana Maria Delgado; Daniel Anglés‐Alcázar; Leander Thiele; Shivam Pandey; Kai Lehman; Rachel S. Somerville; Michelle Ntampaka; Shy Genel; Francisco Villaescusa-Navarro; Lars Hernquist,2023,10.1093/mnras/stad2992,"ABSTRACT Extracting information from the total matter power spectrum with the precision needed for upcoming cosmological surveys requires unraveling the complex effects of galaxy formation processes on the distribution of matter. We investigate the impact of baryonic physics on matter clustering at z = 0 using a library of power spectra from the Cosmology and Astrophysics with MachinE Learning Simulations project, containing thousands of $(25\, h^{-1}\, {\rm Mpc})^3$ volume realizations with varying cosmology, initial random field, stellar and active galactic nucleus (AGN) feedback strength and subgrid model implementation methods. We show that baryonic physics affects matter clustering on scales $k \gtrsim 0.4\, h\, \mathrm{Mpc}^{-1}$ and the magnitude of this effect is dependent on the details of the galaxy formation implementation and variations of cosmological and astrophysical parameters. Increasing AGN feedback strength decreases halo baryon fractions and yields stronger suppression of power relative to N-body simulations, while stronger stellar feedback often results in weaker effects by suppressing black hole growth and therefore the impact of AGN feedback. We find a broad correlation between mean baryon fraction of massive haloes (M200c &amp;gt; 1013.5 M⊙) and suppression of matter clustering but with significant scatter compared to previous work owing to wider exploration of feedback parameters and cosmic variance effects. We show that a random forest regressor trained on the baryon content and abundance of haloes across the full mass range 1010 ≤ Mhalo/M⊙&amp;lt;1015 can predict the effect of galaxy formation on the matter power spectrum on scales k = 1.0–20.0 $h\, \mathrm{Mpc}^{-1}$.",27,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W4387321945,https://doi.org/10.1093/mnras/stad2992,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3983,0.7,1.0,0.6195
Stellar spectral interpolation using machine learning,Kaushal Kumar Sharma; Harinder P. Singh; Ranjan Gupta; Ajit Kembhavi; Kaustubh Vaghmare; Jianrong Shi; Yongheng Zhao; Jiannan Zhang; Yue Wu,2020,10.1093/mnras/staa1809,"ABSTRACT Theoretical stellar spectra rely on model stellar atmospheres computed based on our understanding of the physical laws at play in the stellar interiors. These models, coupled with atomic and molecular line databases, are used to generate theoretical stellar spectral libraries (SSLs) comprising of stellar spectra over a regular grid of atmospheric parameters (temperature, surface gravity, abundances) at any desired resolution. Another class of SSLs is referred to as empirical spectral libraries; these contain observed spectra at limited resolution. SSLs play an essential role in deriving the properties of stars and stellar populations. Both theoretical and empirical libraries suffer from limited coverage over the parameter space. This limitation is overcome to some extent by generating spectra for specific sets of atmospheric parameters by interpolating within the grid of available parameter space. In this work, we present a method for spectral interpolation in the optical region using machine learning algorithms that are generic, easily adaptable for any SSL without much change in the model parameters, and computationally inexpensive. We use two machine learning techniques, Random Forest (RF) and Artificial Neural Networks (ANN), and train the models on the MILES library. We apply the trained models to spectra from the CFLIB for testing and show that the performance of the two models is comparable. We show that both the models achieve better accuracy than the existing methods of polynomial based interpolation and the Gaussian radial basis function (RBF) interpolation.",15,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W3036313178,https://doi.org/10.1093/mnras/staa1809,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.3314,0.4,1.0,0.6094
